RecordID,CustomerID_Hash,Statement_Generation_Date,Statement_Period_Months,Opening_Balance,Closing_Balance,Total_Credits,Num_Credit_Transactions,Total_Debits,Num_Debit_Transactions,Probable_Salary_Deposits_Count,Probable_Salary_Total,Other_Credits_Total,ATM_Withdrawals_Count,ATM_Withdrawals_Total,POS_Purchases_Count,POS_Purchases_Total,Airtime_Purchases_Count,Airtime_Purchases_Total,Online_P2P_Payments_Count,Online_P2P_Payments_Total,Send_Money_eWallet_Count,Send_Money_eWallet_Total,Debit_Orders_Processed_Count,Debit_Orders_Processed_Total,Debit_Orders_Returned_Count,Debit_Orders_Returned_Total,Fees_Monthly_Account_Total,Fees_Service_Charges_Total,Fees_Penalty_Interest_Total,Fees_Unpaid_Item_Charges_Total,Fees_Honouring_Charges_Total,VAT_on_Charges,Transfers_To_Savings_Count,Transfers_To_Savings_Total,Days_Balance_Below_Zero,Min_Balance_Recorded,Max_Balance_Recorded,Account_Type_Code,Net_Income,Salary_Ratio,Savings_Ratio,Expense_Ratio,Balance_Stability,Fees_Total,Credit_Score_Class
1,8e7c299123,2024-11-13,3,4046.65,12914.52,31838.9,5,22971.03,29,6,10531.69,21307.21,1,6783.3,10,3433.69,5,803.32,10,1577.91,1,1248.48,0,912.61,0,0.0,41.59,39.88,0.0,0.0,0.0,11.41,2,1628.12,1,2342.88,21708.37,1,8867.870000000003,0.3307805860127077,0.05113618875023948,0.6401192123291964,19365.489999999998,81.47,2
2,1c44cf8504,2025-04-16,3,6039.45,4210.85,37580.28,40,39408.88,93,1,33458.05,4122.23,0,4171.94,20,13429.01,2,952.98,9,3333.47,3,86.74,3,7084.83,1,2662.71,14.5,273.76,0.0,4.92,0.0,41.05,3,2510.63,41,1571.51,15268.86,3,-1828.5999999999985,0.8903086938149477,0.06680711266653681,0.9034645560621306,13697.35,293.18,1
3,fb397c5766,2024-01-11,3,4400.79,7523.07,38536.11,9,35413.83,32,6,28658.04,9878.07,6,7685.47,19,7010.6,3,29.47,5,2793.77,2,884.29,3,4204.16,0,0.0,41.93,107.56,0.0,0.0,0.0,20.93,1,778.98,77,3104.02,14312.92,1,3122.279999999999,0.7436671734640575,0.020214287326873418,0.8247877699601043,11208.9,149.49,0
4,c875ccb207,2025-02-03,3,5519.01,-622.22,36140.02,44,42281.25,106,3,16302.6,19837.42,0,159.87,6,1551.24,4,1476.9,5,2378.8,5,55.93,5,10537.24,4,1752.98,22.07,102.22,0.0,96.75,0.0,30.95,7,5988.61,15,850.78,15329.17,2,-6141.230000000003,0.4510954891557891,0.1657057743742256,1.0149360174732824,14478.39,221.04,1
5,0181518299,2025-01-27,3,1647.04,10934.84,1279.86,47,2926.9,86,0,0.0,1279.86,0,207.83,17,684.61,7,44.56,6,83.13,5,144.99,0,693.77,0,0.0,36.87,15.72,0.0,0.0,0.0,7.36,0,506.25,69,-1444.84,7195.98,2,-1647.0400000000002,0.0,0.39555107589892646,1.0000000000000002,8640.82,52.589999999999996,0
6,b1f21109d7,2024-03-02,3,156.59,1556.48,24435.73,22,23035.84,108,1,10689.65,13746.08,4,444.28,2,2019.69,7,1135.02,7,1616.82,0,1827.15,0,4248.31,0,0.0,11.95,261.76,31.42,0.0,70.66,52.61,0,2302.53,82,123.59,7733.2,3,1399.8899999999994,0.4374598180615026,0.09422800137339872,0.9367086960481972,7609.61,375.78999999999996,0
7,bb9554823a,2024-05-26,3,3582.84,9032.03,13069.31,15,7620.12,86,0,0.0,13069.31,8,937.98,11,2171.42,5,378.51,4,108.45,2,384.67,2,623.18,1,457.69,12.43,27.02,5.19,191.89,30.16,37.34,10,800.71,21,-857.12,12410.52,1,5449.19,0.0,0.06126643258136811,0.4576057746297024,13267.640000000001,266.69,1
8,549bbe0365,2024-10-17,3,2262.2,13292.03,33302.24,33,22272.41,56,0,0.0,33302.24,5,5259.09,20,2966.95,4,95.88,8,1979.96,4,1529.28,4,946.68,1,312.01,17.75,265.21,0.0,48.17,0.0,46.36,7,1259.69,37,1778.79,32910.79,2,11029.829999999998,0.0,0.03782598407794791,0.6262550457704382,31132.0,331.13,1
9,ce9016750a,2024-07-13,3,6717.64,19129.89,10946.59,17,17664.23,112,0,0.0,10946.59,7,69.54,0,5335.51,1,22.17,6,628.67,1,542.68,4,3033.91,0,0.0,42.88,188.8,17.16,0.0,32.18,39.34,5,2698.86,64,6647.04,18485.44,1,-6717.639999999999,0.0,0.24654801175525895,1.0,11838.399999999998,281.02,0
10,f92b8fb55d,2024-11-27,3,5481.1,14659.52,8502.06,51,13983.16,75,3,3220.97,5281.09,8,1568.43,11,679.41,5,695.85,5,700.4,1,785.66,2,3840.28,2,244.56,33.09,195.6,0.0,27.23,0.0,35.83,7,281.1,25,783.93,14240.06,3,-5481.1,0.37884583265702665,0.03306257542289751,1.0,13456.13,255.92,1
